"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 14:54:39 WIB 2024","Sat Jul 20 14:54:50 WIB 2024","11871","","Fitur Desa","","","","Edit Data Desa",""
"passed","Sat Jul 20 14:53:59 WIB 2024","Sat Jul 20 14:54:15 WIB 2024","16181","","Fitur Pekerja","","","","Edit data Pekerja",""
"passed","Sat Jul 20 14:55:33 WIB 2024","Sat Jul 20 14:55:47 WIB 2024","14225","","Fitur Dusun","","","","Hapus Data Dusun",""
"passed","Sat Jul 20 14:56:38 WIB 2024","Sat Jul 20 14:56:49 WIB 2024","10407","","Logout","","","","Logout",""
"passed","Sat Jul 20 14:53:46 WIB 2024","Sat Jul 20 14:53:59 WIB 2024","12510","","Fitur Pekerja","","","","Tambahkan akun Pekerja Baru",""
"passed","Sat Jul 20 14:54:15 WIB 2024","Sat Jul 20 14:54:26 WIB 2024","11628","","Fitur Pekerja","","","","Hapus data Pekerja",""
"passed","Sat Jul 20 14:55:48 WIB 2024","Sat Jul 20 14:56:07 WIB 2024","19055","","Fitur Pengiriman","","","","Tambahkan Data Pengiriman",""
"passed","Sat Jul 20 14:56:15 WIB 2024","Sat Jul 20 14:56:22 WIB 2024","6929","","Login Page Kurir","","","","Masuk dengan Email dan Password yang valid, Role = Kurir",""
"passed","Sat Jul 20 14:55:05 WIB 2024","Sat Jul 20 14:55:20 WIB 2024","15851","","Fitur Dusun","","","","Tambahkan Data Dusun",""
"passed","Sat Jul 20 14:54:26 WIB 2024","Sat Jul 20 14:54:39 WIB 2024","12107","","Fitur Desa","","","","Tambahkan Data Desa",""
"passed","Sat Jul 20 14:55:20 WIB 2024","Sat Jul 20 14:55:33 WIB 2024","12863","","Fitur Dusun","","","","Edit Data Dusun",""
"passed","Sat Jul 20 14:56:22 WIB 2024","Sat Jul 20 14:56:38 WIB 2024","16154","","Fitur Pengiriman","","","","Kurir Melakukan Pengiriman",""
"passed","Sat Jul 20 14:54:50 WIB 2024","Sat Jul 20 14:55:05 WIB 2024","14082","","Fitur Desa","","","","Hapus Data Desa",""
"passed","Sat Jul 20 14:53:36 WIB 2024","Sat Jul 20 14:53:46 WIB 2024","9924","","Login Page","","","","Masuk dengan Email dan Password yang valid, Role = Admin",""
